,Name,Cost,Coordinates,Bed,Bath,Parking,Property_Type,Agency,Postcode,Nearby_Schools,Primary_Distance,Secondary_Distance
4604,2/47 Hobbs Crescent Reservoir VIC 3073,350.0,"[-37.7069935, 145.0045152]",3,1,2,House,Eview Group - Australia,3073,465,"{'distance': 1223.1, 'duration': 156.9}","{'distance': 1650.8, 'duration': 278.9}"
4605,2/21 Barwon Avenue Reservoir VIC 3073,450.0,"[-37.7232754, 145.0235662]",2,2,1,Townhouse,    Love & Co,3073,480,"{'distance': 691.0, 'duration': 74.6}","{'distance': 937.7, 'duration': 103.7}"
4606,2/49 Northernhay Street Reservoir VIC 3073,370.0,"[-37.7248247, 145.0099441]",2,1,1,Apartment / Unit / Flat,Nelson Alexander Reservoir,3073,476,"{'distance': 1323.3, 'duration': 224.9}","{'distance': 2094.9, 'duration': 394.0}"
4607,2/1079 High Street Reservoir VIC 3073,390.0,"[-37.6973195, 145.0106155]",2,1,1,Townhouse,Nelson Alexander Reservoir,3073,469,"{'distance': 1052.2, 'duration': 156.3}","{'distance': 1053.0, 'duration': 156.4}"
4608,95 Darebin Boulevard Reservoir VIC 3073,470.0,"[-37.7039769, 145.0304981]",3,1,2,House,Ray White Preston,3073,449,"{'distance': 892.3, 'duration': 166.5}","{'distance': 3843.6, 'duration': 467.3}"
4609,1/8 Hobbs Crescent Reservoir VIC 3073,500.0,"[-37.70505199999999, 145.007108]",3,1,1,Apartment / Unit / Flat,Love & Co Reservoir,3073,470,"{'distance': 1133.9, 'duration': 133.3}","{'distance': 1502.4, 'duration': 256.6}"
4610,53 Whitelaw Street Reservoir VIC 3073,370.0,"[-37.7128699, 145.0176681]",2,1,2,House,Nelson Alexander Reservoir,3073,467,"{'distance': 283.3, 'duration': 70.5}","{'distance': 2423.0, 'duration': 350.1}"
4611,26 Beatty Street Reservoir VIC 3073,555.0,"[-37.7260802, 144.9932191]",4,1,4,House,Ray White Preston,3073,501,"{'distance': 777.3, 'duration': 127.2}","{'distance': 3135.2, 'duration': 320.1}"
4612,37 Keon Parade Reservoir VIC 3073,550.0,"[-37.6959618, 145.0182708]",3,1,3,House,Ray White Preston,3073,466,"{'distance': 2097.7, 'duration': 250.9}","{'distance': 1577.0, 'duration': 205.1}"
4613,"9 Caddy Court, Reservoir VIC 3073",330.0,"[-37.7290933, 145.0320051]",2,1,1,House,Ray White Reservoir,3073,445,"{'distance': 639.8, 'duration': 153.5}","{'distance': 865.0, 'duration': 207.6}"
4614,24 Rosenthal Crescent Reservoir VIC 3073,470.0,"[-37.7012411, 145.0060023]",3,1,2,House,Ray White Bundoora,3073,462,"{'distance': 609.3, 'duration': 147.7}","{'distance': 610.0, 'duration': 147.8}"
4615,41 Byfield Street Reservoir VIC 3073,410.0,"[-37.7133004, 145.0039362]",2,1,2,House,Love & Co Reservoir,3073,475,"{'distance': 592.9, 'duration': 135.0}","{'distance': 3247.2, 'duration': 364.1}"
4616,3/88 Purinuan Road Reservoir VIC 3073,370.0,"[-37.7080985, 145.0229232]",2,1,1,Apartment / Unit / Flat,Harcourts Rata & Co,3073,477,"{'distance': 907.6, 'duration': 217.8}","{'distance': 3179.6, 'duration': 401.8}"
4617,1/167 Mahoneys Road Reservoir VIC 3073,350.0,"[-37.6927813, 144.9877372]",2,1,3,Apartment / Unit / Flat,  Love & Co,3073,458,"{'distance': 1990.3, 'duration': 371.7}","{'distance': 2655.9, 'duration': 268.1}"
4618,9 Boldrewood Parade Reservoir VIC 3073,450.0,"[-37.724301, 145.0227602]",3,1,2,House,Nelson Alexander Reservoir,3073,483,"{'distance': 651.1, 'duration': 46.2}","{'distance': 1141.8, 'duration': 125.7}"
4619,66 Seston Street Reservoir VIC 3073,370.0,"[-37.7277155, 145.0348469]",3,1,2,House,Ray White Reservoir,3073,442,"{'distance': 867.2, 'duration': 208.1}","{'distance': 867.2, 'duration': 208.1}"
4620,89 Miranda Road Reservoir VIC 3073,450.0,"[-37.70686020000001, 145.0167641]",3,1,1,House,Nelson Alexander Reservoir,3073,473,"{'distance': 1072.1, 'duration': 145.8}","{'distance': 3090.8, 'duration': 387.2}"
4621,31 Crispe Street Reservoir VIC 3073,625.0,"[-37.7263425, 144.9944242]",4,1,2,House,Barry Plant Inner North,3073,499,"{'distance': 886.3, 'duration': 153.4}","{'distance': 3244.3, 'duration': 346.3}"
4622,31 Crispe Street Reservoir VIC 3073,625.0,"[-37.7263425, 144.9944242]",4,1,2,House,Barry Plant Northcote and Preston,3073,499,"{'distance': 886.3, 'duration': 153.4}","{'distance': 3244.3, 'duration': 346.3}"
4623,32 Clingin Street Reservoir VIC 3073,360.0,"[-37.728558, 145.0333399]",3,1,2,House,McGrath Ivanhoe,3073,444,"{'distance': 776.2, 'duration': 186.3}","{'distance': 827.9, 'duration': 198.7}"
4624,11C Oulton Crescent Reservoir VIC 3073,590.0,"[-37.7269771, 145.0283453]",3,2,2,Townhouse,Nelson Alexander Essendon,3073,471,"{'distance': 816.5, 'duration': 188.8}","{'distance': 2197.1, 'duration': 208.1}"
4625,20 McCrae Street Reservoir VIC 3073,420.0,"[-37.7053381, 145.0110817]",3,1,3,House,Love & Co Reservoir,3073,474,"{'distance': 985.3, 'duration': 186.5}","{'distance': 2271.2, 'duration': 361.9}"
4626,1/93 Crookston Road Reservoir VIC 3073,495.0,"[-37.7097377, 145.0153324]",3,2,1,Townhouse,Ray White Reservoir,3073,468,"{'distance': 646.6, 'duration': 157.7}","{'distance': 3278.2, 'duration': 411.7}"
4627,3/135 Hickford Street Reservoir VIC 3073,300.0,"[-37.70332930000001, 145.0145623]",2,1,1,Apartment / Unit / Flat,Ray White Reservoir,3073,474,"{'distance': 557.2, 'duration': 115.9}","{'distance': 2169.3, 'duration': 282.2}"
4628,2/20-22 Rathcown Road Reservoir VIC 3073,380.0,"[-37.710277, 145.032156]",2,1,1,Apartment / Unit / Flat,Love & Co Reservoir,3073,447,"{'distance': 1336.2, 'duration': 233.5}","{'distance': 3628.4, 'duration': 437.0}"
4629,3/96 Whitelaw Street Reservoir VIC 3073,475.0,"[-37.7124995, 145.0219733]",2,2,1,Townhouse,Harcourts - Mernda,3073,468,"{'distance': 265.5, 'duration': 66.2}","{'distance': 2376.4, 'duration': 262.1}"
4630,3/1067 High Street Reservoir VIC 3073,300.0,"[-37.698291, 145.010431]",2,1,1,Apartment / Unit / Flat,Ray Mascaro & Co Pty Ltd,3073,466,"{'distance': 1161.4, 'duration': 162.8}","{'distance': 1162.2, 'duration': 163.0}"
4631,59 Southernhay Street Reservoir VIC 3073,580.0,"[-37.7256036, 145.0089079]",3,2,2,House,Nelson Alexander Fitzroy,3073,477,"{'distance': 1131.1, 'duration': 178.8}","{'distance': 2343.2, 'duration': 296.9}"
4632,1/96 Whitelaw Street Reservoir VIC 3073,570.0,"[-37.7124995, 145.0219733]",3,2,1,Townhouse,Harcourts - Mernda,3073,468,"{'distance': 265.5, 'duration': 66.2}","{'distance': 2376.4, 'duration': 262.1}"
4633,2/66 Barry Street Reservoir VIC 3073,420.0,"[-37.7089448, 145.0018702]",2,1,1,Apartment / Unit / Flat,Harcourts Rata & Co,3073,468,"{'distance': 687.8, 'duration': 153.7}","{'distance': 2105.9, 'duration': 310.7}"
4634,8/27-29 Miranda Road Reservoir VIC 3073,400.0,"[-37.7077977, 145.0236384]",2,1,1,Townhouse,Harcourts Rata & Co,3073,477,"{'distance': 845.7, 'duration': 202.9}","{'distance': 3332.1, 'duration': 465.0}"
4635,3/40 Home Street Reservoir VIC 3073,420.0,"[-37.7258058, 145.0211403]",2,1,1,Apartment / Unit / Flat,Stockdale & Leggo Reservoir,3073,481,"{'distance': 693.8, 'duration': 156.8}","{'distance': 1217.0, 'duration': 180.1}"
4636,3/33 Nisbett Street Reservoir VIC 3073,360.0,"[-37.7280035, 145.0323495]",2,1,1,Apartment / Unit / Flat,Harcourts Rata & Co,3073,445,"{'distance': 810.7, 'duration': 194.6}","{'distance': 1015.1, 'duration': 243.6}"
4637,2/39 Olive Street Reservoir VIC 3073,420.0,"[-37.7166415, 145.0039793]",2,1,1,Townhouse,Stockdale & Leggo Reservoir,3073,482,"{'distance': 323.9, 'duration': 63.6}","{'distance': 3475.3, 'duration': 364.4}"
4638,4/25 Lake Street Reservoir VIC 3073,350.0,"[-37.7169776, 144.9900684]",2,1,1,Apartment / Unit / Flat,    Love & Co,3073,485,"{'distance': 1025.9, 'duration': 183.3}","{'distance': 8455.8, 'duration': 807.0}"
4639,1/16 Cheddar Road Reservoir VIC 3073,490.0,"[-37.6968058, 145.0218441]",3,2,1,Townhouse,Harcourts Rata & Co,3073,467,"{'distance': 1198.5, 'duration': 185.9}","{'distance': 1980.0, 'duration': 239.5}"
4640,3/5 Ashley Street Reservoir VIC 3073,350.0,"[-37.7187392, 145.0015239]",1,1,1,Townhouse,Love & Co Reservoir,3073,485,"{'distance': 486.4, 'duration': 57.2}","{'distance': 3557.9, 'duration': 355.0}"
4641,4/49 Crookston Road Reservoir VIC 3073,320.0,"[-37.710487, 145.019095]",2,1,1,Apartment / Unit / Flat,Ray Mascaro & Co Pty Ltd,3073,471,"{'distance': 354.2, 'duration': 87.5}","{'distance': 2952.9, 'duration': 363.0}"
4642,1/29 Pickett Street Reservoir VIC 3073,415.0,"[-37.7043144, 145.0149462]",3,1,2,Apartment / Unit / Flat,Harcourts Rata & Co,3073,474,"{'distance': 540.6, 'duration': 118.1}","{'distance': 2328.0, 'duration': 311.1}"
4643,2/10 Pratt Street Reservoir VIC 3073,400.0,"[-37.710462, 145.0096192]",2,1,1,Townhouse,Harcourts Rata & Co,3073,482,"{'distance': 1858.6, 'duration': 220.9}","{'distance': 3405.9, 'duration': 407.1}"
4644,16A Merrilands Road Reservoir VIC 3073,400.0,"[-37.6954795, 145.0084774]",4,1,2,House,Barry Plant Glenroy,3073,475,"{'distance': 533.5, 'duration': 128.0}","{'distance': 534.2, 'duration': 128.2}"
4645,3/13 Erskine Avenue Reservoir VIC 3073,410.0,"[-37.7234785, 145.02503]",2,2,1,Townhouse,Ray White Epping,3073,478,"{'distance': 867.9, 'duration': 107.6}","{'distance': 767.5, 'duration': 89.0}"
4646,28 Erskine Avenue Reservoir VIC 3073,380.0,"[-37.7225646, 145.02503]",4,1,3,House,Haughton Stotts Real Estate,3073,479,"{'distance': 778.1, 'duration': 96.9}","{'distance': 857.3, 'duration': 99.8}"
4647,108A/49 Johnson Street Reservoir VIC 3073,500.0,"[-37.6955375, 145.0121232]",2,2,1,Apartment / Unit / Flat,Jellis Craig Ivanhoe,3073,473,"{'distance': 1107.6, 'duration': 173.2}","{'distance': 1108.3, 'duration': 173.4}"
4648,6/84-86 Pine Street Reservoir VIC 3073,420.0,"[-37.7168207, 144.9991628]",2,1,1,Apartment / Unit / Flat,HockingStuart Reservoir,3073,479,"{'distance': 1106.1, 'duration': 135.4}","{'distance': 2774.2, 'duration': 343.1}"
4649,4/19 Aberdeen Street Reservoir VIC 3073,310.0,"[-37.702515, 145.021104]",2,1,1,Apartment / Unit / Flat,Haughton Stotts Real Estate,3073,462,"{'distance': 337.1, 'duration': 80.9}","{'distance': 3039.9, 'duration': 372.8}"
4650,3/129 Darebin Boulevard Reservoir VIC 3073,560.0,"[-37.7021667, 145.0332538]",3,1,2,Townhouse,Biggin & Scott Inner North,3073,446,"{'distance': 1311.0, 'duration': 229.9}","{'distance': 4262.3, 'duration': 530.7}"
4651,2/14 Birdwood Street Reservoir VIC 3073,420.0,"[-37.7286288, 144.9965331]",2,1,1,Townhouse,Nelson Alexander Reservoir,3073,501,"{'distance': 1220.7, 'duration': 187.2}","{'distance': 2392.0, 'duration': 280.3}"
4652,2/15 Loddon Avenue Reservoir VIC 3073,285.0,"[-37.7230737, 145.0261478]",1,1,0,Apartment / Unit / Flat,     Love & Co,3073,474,"{'distance': 971.6, 'duration': 131.9}","{'distance': 625.8, 'duration': 82.0}"
4653,2 Kerang Avenue Reservoir VIC 3073,370.0,"[-37.7206404, 145.0261495]",4,1,1,House,Ray White Reservoir,3073,476,"{'distance': 837.4, 'duration': 127.9}","{'distance': 961.0, 'duration': 134.3}"
4654,6/101 Rathcown Road Reservoir VIC 3073,425.0,"[-37.709498, 145.0218636]",3,1,2,Townhouse,Ray White Preston,3073,472,"{'distance': 468.4, 'duration': 114.9}","{'distance': 2768.7, 'duration': 329.8}"
4655,3/64 Darebin Blvd Reservoir VIC 3073,580.0,"[-37.7040976, 145.0276133]",4,3,2,Townhouse,Ray White Preston,3073,455,"{'distance': 640.8, 'duration': 130.4}","{'distance': 4535.6, 'duration': 454.1}"
4656,151 Broadway Reservoir VIC 3073,400.0,"[-37.7183743, 145.0189166]",3,1,1,House,Barry Plant Epping,3073,481,"{'distance': 351.2, 'duration': 73.9}","{'distance': 1814.7, 'duration': 220.0}"
4657,15 Ameily Crescent Reservoir VIC 3073,370.0,"[-37.7096826, 144.9943381]",2,1,1,House,Biggin & Scott Inner North,3073,463,"{'distance': 1846.6, 'duration': 440.7}","{'distance': 2543.1, 'duration': 367.8}"
4658,2/1 Griffiths Street Reservoir VIC 3073,400.0,"[-37.7145942, 144.9958875]",2,2,1,Apartment / Unit / Flat,hockingstuart Yarraville,3073,476,"{'distance': 1315.1, 'duration': 148.1}","{'distance': 2661.5, 'duration': 326.8}"
4659,5/14 Barry Street Reservoir VIC 3073,410.0,"[-37.7093118, 145.0070988]",2,1,1,Townhouse,Ray White South Morang,3073,479,"{'distance': 224.2, 'duration': 53.8}","{'distance': 2618.6, 'duration': 277.7}"
4660,2/3 Suffolk Street Reservoir VIC 3073,350.0,"[-37.7085704, 145.0106876]",2,1,1,Apartment / Unit / Flat,Raine & Horne Ascot Vale,3073,478,"{'distance': 1676.7, 'duration': 215.5}","{'distance': 3224.0, 'duration': 401.8}"
4661,8/14 Merino Street Reservoir VIC 3073,390.0,"[-37.707265, 145.033008]",2,1,1,Apartment / Unit / Flat,Biggin & Scott Inner North,3073,444,"{'distance': 1819.6, 'duration': 339.6}","{'distance': 3762.7, 'duration': 460.8}"
4662,7/544 Gilbert Road Reservoir VIC 3073,330.0,"[-37.7282921, 144.9920356]",2,1,1,Apartment / Unit / Flat,Barry Plant Northcote and Preston,3073,507,"{'distance': 833.1, 'duration': 128.0}","{'distance': 2817.5, 'duration': 279.4}"
4663,7/544 Gilbert Road Reservoir VIC 3073,330.0,"[-37.7282921, 144.9920356]",2,1,1,Apartment / Unit / Flat,Barry Plant Inner North,3073,507,"{'distance': 833.1, 'duration': 128.0}","{'distance': 2817.5, 'duration': 279.4}"
4664,2/131 Boldrewood Parade Reservoir VIC 3073,355.0,"[-37.7138455, 145.0219147]",2,1,3,Apartment / Unit / Flat,Harcourts Rata & Co,3073,466,"{'distance': 696.4, 'duration': 104.3}","{'distance': 2152.2, 'duration': 240.5}"
4665,6 Newton Street Reservoir VIC 3073,325.0,"[-37.7316265, 145.0286897]",3,1,1,House,Haughton Stotts Real Estate,3073,468,"{'distance': 178.4, 'duration': 42.8}","{'distance': 1449.9, 'duration': 172.5}"
4666,143 Wilson Boulevard Reservoir VIC 3073,520.0,"[-37.6972374, 144.9951558]",4,1,1,House,Nelson Alexander Reservoir,3073,461,"{'distance': 837.6, 'duration': 276.6}","{'distance': 904.7, 'duration': 187.9}"
4667,4/68 Strathmerton Street Reservoir VIC 3073,400.0,"[-37.7130316, 145.0168502]",2,1,1,Townhouse,Harcourts Rata & Co,3073,468,"{'distance': 384.2, 'duration': 94.7}","{'distance': 2380.5, 'duration': 339.9}"
4668,2/36 Strathmerton Street Reservoir VIC 3073,390.0,"[-37.7152465, 145.0192103]",3,1,2,Townhouse,Jellis Craig Ivanhoe,3073,478,"{'distance': 1005.8, 'duration': 168.3}","{'distance': 2110.3, 'duration': 275.1}"
4669,62 Cheddar Road Reservoir VIC 3073,360.0,"[-37.7078351, 145.0145686]",3,1,2,House,Harcourts Rata & Co,3073,475,"{'distance': 1290.2, 'duration': 155.9}","{'distance': 3309.0, 'duration': 397.3}"
4670,8A Hurley Street Reservoir Reservoir VIC 3073,430.0,"[-37.7011522, 144.9960812]",3,1,1,House,Ray White Reservoir,3073,457,"{'distance': 497.2, 'duration': 194.9}","{'distance': 1017.7, 'duration': 197.7}"
4671,1/74 Barton Street Reservoir VIC 3073,380.0,"[-37.710712, 144.998351]",2,1,1,Apartment / Unit / Flat,Ray White South Morang,3073,460,"{'distance': 838.0, 'duration': 201.1}","{'distance': 2056.1, 'duration': 265.5}"
4672,75B Cheddar Road Reservoir VIC 3073,550.0,"[-37.7075178, 145.0135941]",3,2,2,Townhouse,Jellis Craig Kensington,3073,476,"{'distance': 797.2, 'duration': 99.6}","{'distance': 2815.9, 'duration': 340.9}"
4673,1/923 High Street Reservoir VIC 3073,400.0,"[-37.71264590000001, 145.0079393]",2,1,1,Apartment / Unit / Flat,HockingStuart Reservoir,3073,486,"{'distance': 272.6, 'duration': 53.4}","{'distance': 2813.8, 'duration': 269.7}"
4674,2/55 Lane Crescent Reservoir VIC 3073,560.0,"[-37.7131094, 145.0193471]",3,2,2,Townhouse,Harcourts Rata & Co,3073,470,"{'distance': 242.4, 'duration': 60.7}","{'distance': 2496.5, 'duration': 307.2}"
4675,3/55 Lane Crescent Reservoir VIC 3073,590.0,"[-37.7131094, 145.0193471]",3,2,2,Townhouse,Harcourts Rata & Co,3073,470,"{'distance': 242.4, 'duration': 60.7}","{'distance': 2496.5, 'duration': 307.2}"
4676,163 Mahoneys Road Reservoir VIC 3073,550.0,"[-37.6929223, 144.9881408]",4,1,2,House, Love & Co  ,3073,459,"{'distance': 2027.6, 'duration': 374.2}","{'distance': 2693.2, 'duration': 270.5}"
4677,941 Rear High Street Reservoir VIC 3073,360.0,"[-37.7118667, 145.0083975]",3,1,1,Apartment / Unit / Flat,Woodards Preston,3073,484,"{'distance': 185.8, 'duration': 40.6}","{'distance': 2682.1, 'duration': 254.2}"
4678,3/1 Newton Street Reservoir VIC 3073,470.0,"[-37.7320759, 145.0288835]",2,2,1,Townhouse,Minus The Agent,3073,466,"{'distance': 154.3, 'duration': 37.0}","{'distance': 757.0, 'duration': 168.8}"
4679,REAR/111 Spring Street Reservoir VIC 3073,320.0,"[-37.7280903, 145.0006327]",2,1,0,Apartment / Unit / Flat,Ray Mascaro & Co Pty Ltd,3073,496,"{'distance': 2210.7, 'duration': 239.7}","{'distance': 2102.3, 'duration': 231.0}"
4680,1 Gladstone Street Reservoir VIC 3073,420.0,"[-37.7118837, 145.0097903]",3,1,3,House,Love & Co Reservoir,3073,484,"{'distance': 1894.8, 'duration': 212.5}","{'distance': 3442.1, 'duration': 398.7}"
4681,1/33 Nisbett Street Reservoir VIC 3073,400.0,"[-37.7280035, 145.0323495]",3,1,1,House,Ray White Reservoir,3073,445,"{'distance': 810.7, 'duration': 194.6}","{'distance': 1015.1, 'duration': 243.6}"
4682,59A Rathcown Road Reservoir VIC 3073,420.0,"[-37.7103124, 145.0286897]",3,1,2,House,Woodards Preston,3073,461,"{'distance': 1167.6, 'duration': 249.9}","{'distance': 3436.1, 'duration': 417.2}"
4683,1035 High Street Reservoir VIC 3073,370.0,"[-37.7014102, 145.0100446]",3,1,1,House,Barry Plant Bundoora,3073,473,"{'distance': 1509.7, 'duration': 183.7}","{'distance': 1510.5, 'duration': 183.9}"
4684,88A Strathmerton Street Reservoir VIC 3073,320.0,"[-37.7116749, 145.0154618]",2,1,0,House,eezirent,3073,467,"{'distance': 578.0, 'duration': 141.2}","{'distance': 2574.3, 'duration': 386.4}"
4685,153 Albert Street Reservoir VIC 3073,365.0,"[-37.7317036, 145.0248148]",3,1,8,House,Stockdale & Leggo Reservoir,3073,482,"{'distance': 1070.5, 'duration': 147.8}","{'distance': 1726.4, 'duration': 145.9}"
4686,5/16 Bernard Street Reservoir VIC 3073,380.0,"[-37.7176663, 145.0105651]",2,1,1,Townhouse,Barry Plant Bundoora,3073,489,"{'distance': 829.7, 'duration': 113.5}","{'distance': 2731.8, 'duration': 265.3}"
4687,4/70 Miranda Road Reservoir VIC 3073,380.0,"[-37.7068465, 145.0196435]",2,1,1,Apartment / Unit / Flat,LITTLE Real Estate Victoria,3073,471,"{'distance': 471.2, 'duration': 113.1}","{'distance': 3341.0, 'duration': 447.3}"
4688,15/15 Chenies Street Reservoir VIC 3073,440.0,"[-37.7109709, 145.0283838]",2,1,1,Townhouse,Nelson Alexander Reservoir,3073,461,"{'distance': 1223.6, 'duration': 258.9}","{'distance': 3284.6, 'duration': 392.6}"
4689,2/30 Spratling Street Reservoir VIC 3073,475.0,"[-37.7161449, 144.9952807]",2,1,1,Townhouse,Nelson Alexander | Carlton,3073,477,"{'distance': 1034.1, 'duration': 190.6}","{'distance': 3041.8, 'duration': 367.3}"
4690,17 Dawson Street Reservoir VIC 3073,140.0,"[-37.7006004, 144.9874953]",9,2,0,House,The Hopkins Group,3073,453,"{'distance': 1489.5, 'duration': 355.5}","{'distance': 6403.5, 'duration': 570.8}"
4691,32A Foch Street Reservoir VIC 3073,950.0,"[-37.7282315, 145.0120324]",4,3,2,House,Nelson Alexander Northcote,3073,476,"{'distance': 391.7, 'duration': 88.1}","{'distance': 2473.9, 'duration': 312.1}"
4692,711 Plenty Road Reservoir VIC 3073,165.0,"[-37.7290319, 145.017087]",1,1,0,Apartment / Unit / Flat,Rent Exchange,3073,483,"{'distance': 496.6, 'duration': 83.5}","{'distance': 1553.2, 'duration': 182.3}"
4693,2/18 Aberdeen Street Reservoir VIC 3073,400.0,"[-37.70245999999999, 145.020816]",2,1,1,Apartment / Unit / Flat,One Group Realty,3073,462,"{'distance': 436.0, 'duration': 104.6}","{'distance': 3041.7, 'duration': 373.3}"
4694,1/8 Barry Street Reservoir VIC 3073,470.0,"[-37.709693, 145.007701]",3,1,1,Townhouse,Raine & Horne Reservoir,3073,479,"{'distance': 204.4, 'duration': 49.1}","{'distance': 2560.5, 'duration': 263.8}"
4695,72 Miranda Road Reservoir VIC 3073,420.0,"[-37.7067621, 145.0193902]",3,2,3,House,Barry Plant Reservoir,3073,472,"{'distance': 494.6, 'duration': 118.7}","{'distance': 3317.6, 'duration': 441.6}"
4696,166 Broadhurst Avenue Reservoir VIC 3073,450.0,"[-37.7065392, 144.9849563]",3,1,3,House,Barry Plant Reservoir,3073,448,"{'distance': 1658.0, 'duration': 431.8}","{'distance': 7406.4, 'duration': 718.6}"
4697,3/40 Acheron Avenue Reservoir VIC 3073,380.0,"[-37.7204957, 145.0180236]",2,1,1,Apartment / Unit / Flat,Barry Plant Reservoir,3073,477,"{'distance': 534.5, 'duration': 117.9}","{'distance': 1997.9, 'duration': 264.0}"
4698,3/40 Elsey Road Reservoir VIC 3073,350.0,"[-37.7047017, 145.0112539]",1,1,1,Apartment / Unit / Flat,Barry Plant Reservoir,3073,474,"{'distance': 917.1, 'duration': 170.1}","{'distance': 2250.1, 'duration': 356.8}"
4699,Rear/941 High Street Reservoir VIC 3073,360.0,"[-37.7111006, 145.0083068]",3,1,1,House,Barry Plant Reservoir,3073,481,"{'distance': 269.2, 'duration': 45.6}","{'distance': 2598.8, 'duration': 249.2}"
4700,2/4A Whitby Street Reservoir VIC 3073,450.0,"[-37.710201, 145.003478]",4,1,1,House,Mann Estate Agents,3073,469,"{'distance': 457.2, 'duration': 109.7}","{'distance': 2342.2, 'duration': 302.0}"
4701,1/12 Griffiths Street Reservoir VIC 3073,450.0,"[-37.7125687, 144.9961103]",2,1,1,Townhouse,Barry Plant Reservoir,3073,462,"{'distance': 2154.9, 'duration': 251.4}","{'distance': 2274.4, 'duration': 303.3}"
4702,2/1 Merino Street Reservoir VIC 3073,500.0,"[-37.7079382, 145.0324787]",3,2,2,Townhouse,Outlook Property Group,3073,447,"{'distance': 1775.0, 'duration': 329.6}","{'distance': 3809.4, 'duration': 471.2}"
4703,11 Morris Street Reservoir VIC 3073,425.0,"[-37.6989834, 145.0041945]",3,1,3,House,Barry Plant Reservoir,3073,458,"{'distance': 324.9, 'duration': 78.0}","{'distance': 325.6, 'duration': 78.1}"
4704,8 Kerang Avenue Reservoir VIC 3073,400.0,"[-37.7203986, 145.0266231]",3,1,2,House,Barry Plant Reservoir,3073,476,"{'distance': 925.1, 'duration': 148.9}","{'distance': 1048.8, 'duration': 155.4}"
4705,4/18 Gourock Street Reservoir VIC 3073,440.0,"[-37.7020446, 145.0324407]",2,1,3,Apartment / Unit / Flat,Precise Property Management,3073,447,"{'distance': 1356.7, 'duration': 240.8}","{'distance': 4308.0, 'duration': 541.6}"
4706,4/62 Andrews Avenue Reservoir VIC 3073,510.0,"[-37.7291279, 145.0287866]",3,2,2,Townhouse,Barry Plant Thomastown,3073,468,"{'distance': 515.6, 'duration': 123.7}","{'distance': 1118.3, 'duration': 255.5}"
4707,10/71 Pine Street Reservoir VIC 3073,310.0,"[-37.717784, 144.997286]",2,1,1,Apartment / Unit / Flat,Barry Plant Reservoir,3073,483,"{'distance': 885.9, 'duration': 109.7}","{'distance': 2901.8, 'duration': 373.7}"
4708,1/28 Compton Street Reservoir VIC 3073,395.0,"[-37.71396660000001, 145.0029893]",2,1,1,Townhouse,Thomas Wong Real Estate,3073,474,"{'distance': 725.1, 'duration': 174.0}","{'distance': 3216.7, 'duration': 394.8}"
4709,3/827-829 Plenty Road Reservoir VIC 3073,340.0,"[-37.7242799, 145.0266926]",2,1,1,Apartment / Unit / Flat,Barry Plant Reservoir,3073,474,"{'distance': 1294.9, 'duration': 122.6}","{'distance': 536.1, 'duration': 64.4}"
4710,11/949 High Street Reservoir VIC 3073,440.0,"[-37.7104009, 145.0083267]",2,2,1,Townhouse,Barry Plant Reservoir,3073,481,"{'distance': 296.2, 'duration': 67.8}","{'distance': 2578.9, 'duration': 264.9}"
4711,8/9-11 Wilson Boulevard Reservoir VIC 3073,420.0,"[-37.7067959, 144.9944878]",2,1,1,Apartment / Unit / Flat,Property Initiatives Real Estate,3073,463,"{'distance': 827.6, 'duration': 274.2}","{'distance': 1972.3, 'duration': 256.8}"
4712,2/17 Best Street Reservoir VIC 3073,360.0,"[-37.7135918, 144.9966354]",2,1,2,Apartment / Unit / Flat,Barry Plant Reservoir,3073,467,"{'distance': 1319.1, 'duration': 132.1}","{'distance': 2286.7, 'duration': 280.5}"
4713,10/93-97 Edwardes Street Reservoir VIC 3073,420.0,"[-37.7163368, 145.0010383]",2,1,1,Townhouse,Barry Plant Reservoir,3073,481,"{'distance': 860.6, 'duration': 103.7}","{'distance': 2868.6, 'duration': 338.5}"
4714,313/51 Johnson Street Reservoir VIC 3073,520.0,"[-37.6955409, 145.0121874]",2,2,1,Apartment / Unit / Flat,One Group Realty,3073,473,"{'distance': 1107.2, 'duration': 173.2}","{'distance': 1108.0, 'duration': 173.4}"
4715,4/30 Kelsby Street Reservoir VIC 3073,320.0,"[-37.7131282, 144.9990759]",2,1,1,Apartment / Unit / Flat,Pacific Real Estate Brunswick West,3073,464,"{'distance': 1013.7, 'duration': 243.3}","{'distance': 2339.5, 'duration': 315.3}"
4716,3/46 Elsey Road Reservoir VIC 3073,420.0,"[-37.7046584, 145.0106943]",2,1,1,Apartment / Unit / Flat,Barry Plant Reservoir,3073,474,"{'distance': 967.0, 'duration': 182.0}","{'distance': 2200.2, 'duration': 344.8}"
4717,1/83 Spring Street Reservoir VIC 3073,410.0,"[-37.730007, 145.0003594]",2,1,1,Townhouse,Barry Plant Reservoir,3073,497,"{'distance': 1138.5, 'duration': 158.3}","{'distance': 1880.4, 'duration': 211.1}"
4718,4/20 Acheron Avenue Reservoir VIC 3073,480.0,"[-37.721984, 145.0174314]",2,1,1,Townhouse,First National Real Estate Meadow Heights,3073,475,"{'distance': 705.7, 'duration': 159.0}","{'distance': 1775.8, 'duration': 269.7}"
